cycle,offset,drift_filtered,drift_unfiltered
215,4,0.003418,-48.600783
216,11,0.223088,68.677949
217,-1,-0.043946,-117.194367
218,3,0.032343,39.061356
219,6,0.08923,29.295731
220,8,0.117955,19.531822
221,-1,0.003705,-87.695366
222,6,0.108298,68.511251
223,3,0.032609,-29.119146
224,4,0.110416,9.826175
225,4,0.054917,0.0
226,4,0.074602,0.0
227,10,0.112638,58.481242
228,1,0.036096,-88.14542
229,4,0.121923,29.296303
230,8,0.064698,39.062881
231,8,0.083053,0.0
232,-1,0.046858,-87.881185
233,2,0.056399,29.301453
234,7,0.104058,48.802389
235,-2,-0.008236,-85.690619
236,10,0.156726,120.090068
237,4,0.080317,-58.711862
238,3,0.061271,-9.766197
239,5,0.147202,19.432947
240,5,0.004155,0.0
241,9,0.156747,39.062119
242,6,0.061733,-28.934627
243,16,0.177194,98.702068
244,-7,0.014631,-225.05553
245,4,0.052633,107.278348
246,10,0.138533,58.665937
247,-2,0.014545,-117.197801
248,7,0.109909,87.887192
249,2,0.119447,-48.829556
250,5,0.014551,29.296589
251,15,0.176669,97.646714
252,-9,-0.019586,-230.262211
253,6,0.087938,149.166161
254,-21,-0.112329,-263.666725
255,28,0.2984,478.506279
256,10,0.155723,-175.743493
257,-5,-0.02551,-146.520147
258,6,0.098475,107.429219
259,16,0.222443,97.645761
260,-5,-0.054144,-205.10216
261,13,0.183816,175.753788
262,-2,0.002349,-146.502974
263,7,0.107255,87.892342
264,5,0.135507,-19.531441
265,6,0.096993,9.765053
266,12,0.144674,58.591461
267,2,0.068376,-97.661019
268,5,0.106524,29.298306
269,7,0.09704,19.531631
270,2,0.077946,-48.829079
271,13,0.173417,107.409288
272,-4,-0.008085,-166.031839
273,4,0.087279,78.122711
274,9,0.153942,48.730569
275,8,0.087166,-9.785502
276,13,0.172995,48.826218
277,-4,0.010864,-166.02211
278,2,0.068082,58.592033
279,8,0.115766,58.59375
280,11,0.153106,28.469481
281,9,0.133463,-20.114856
282,-7,-0.047741,-156.25763
283,3,0.038089,97.655296
284,4,0.152543,9.766006
285,3,0.057178,-9.765625
286,8,0.104792,48.756704
287,1,0.076463,-68.126521
288,5,0.086188,39.254171
289,5,0.076651,0.0
290,5,0.114799,0.0
291,4,0.05781,-9.52871
292,5,0.058053,10.01412
293,2,0.086831,-29.125365
294,7,0.125418,49.120739
295,6,0.154633,-9.765148
296,11,0.106864,48.826218
297,-5,-0.007585,-156.259156
298,10,0.12598,146.478653
299,2,0.049686,-78.125763
300,2,0.106905,0.0
301,-2,0.021197,-38.934745
302,10,0.107411,117.577895
303,-3,0.059735,-126.948166
304,10,0.202785,126.951885
305,5,0.031118,-48.829556
306,14,0.183559,87.883759
307,-2,0.012442,-155.651108
308,11,0.13666,127.199076
309,-1,0.031566,-117.426022
310,8,0.145195,87.88805
311,0,0.039584,-78.128815
312,9,0.096657,87.891483
313,3,0.114603,-58.59375
314,8,0.104368,48.823834
315,5,0.104439,-29.297447
316,1,0.056748,-39.064026
317,0,0.047245,-9.731318
318,11,0.152347,107.624722
319,3,0.047316,-78.255681
320,8,0.142683,48.828125
321,8,0.114072,0.0
322,1,0.018701,-68.364716
323,5,0.113978,39.062881
324,5,0.094873,0.0
325,6,0.094881,9.774216
326,3,0.075805,-29.29945
327,4,0.085334,9.75743
328,7,0.085287,29.3215
329,3,0.094826,-39.061737
330,6,0.084884,28.878364
331,3,0.046316,-29.727694
332,3,0.094001,0.0
333,10,0.160593,68.190231
334,-1,0.036359,-107.684777
335,5,0.093419,58.429417
336,3,0.064754,-19.58672
337,12,0.159624,87.750088
338,4,0.073393,-78.134156
339,-1,0.016104,-48.899277
340,7,0.111245,77.892994
341,2,0.044343,-48.975914
342,5,0.082489,29.296303
343,7,0.187395,9.765625
344,1,-0.022422,-58.597183
345,4,0.00619,29.297447
346,8,-0.003405,39.0008
347,3,0.024659,-48.901669
348,2,-0.003844,-9.532707
349,4,-0.060578,20.021623
350,5,0.063338,9.691613
351,3,0.005968,-19.682327
352,5,0.015504,19.530869
353,9,0.053649,39.060211
354,3,-0.022646,-58.594894
355,3,-0.022646,0.0
356,8,0.025036,48.825741
357,3,0.015498,-48.828602
358,3,-0.003577,0.0
359,3,-0.032158,0.0
360,5,0.00589,19.53125
361,4,0.025144,-9.765148
362,7,0.015618,29.296303
363,6,0.025161,-9.765434
364,1,-0.003355,-48.731044
365,3,-0.012853,19.570429
366,7,0.015761,39.066315
367,3,0.015766,-39.060211
368,4,-0.003305,9.765911
369,4,-0.012843,0.0
370,7,0.03484,29.296303
371,4,-0.003291,-29.295731
372,5,0.015798,9.766293
373,5,0.00639,0.0
374,4,0.016192,-9.766006
375,3,-0.012411,-9.765434
376,10,0.036796,60.112668
377,-2,0.004787,-62.072604
378,5,0.054164,70.122012
