cycle,offset,drift_filtered,drift_unfiltered
0,3,0.085013,9.611318
1,4,0.104243,9.925952
2,14,0.180526,97.640994
3,-5,-0.01024,-185.577684
4,4,0.085121,87.884617
5,7,0.093999,28.620765
6,5,0.095709,-17.780623
7,8,0.16237,29.362539
8,2,0.011156,-66.576419
9,5,0.03023,29.296303
10,2,0.082684,-29.298306
11,13,0.024448,106.205285
12,-6,-0.082465,-187.691396
13,5,-0.025569,107.086185
14,9,0.04125,39.184953
15,2,-0.044618,-68.35804
16,3,-0.016008,9.766197
17,3,-0.025544,0.0
18,4,-0.02578,9.52381
19,5,0.021892,9.752767
20,5,0.107724,0.0
21,6,-0.098698,9.765434
22,2,0.018176,-39.064026
23,10,-0.086723,0.0007
24,5,-0.096257,-48.825264
25,1,-0.086722,-39.066315
26,2,-0.077186,9.765434
27,5,-0.096075,29.296875
28,5,-0.05778,0.0
29,9,-0.020198,38.484851
30,1,-0.050393,-79.313148
31,2,-0.156413,9.765911
32,4,-0.089657,19.532013
33,6,-0.061046,19.530487
34,5,-0.089656,-9.76553
35,3,-0.070582,-19.532394
36,3,-0.099128,0.0
37,6,-0.077804,31.622887
38,3,-0.087339,-29.295731
39,2,-0.068267,-9.766006
40,10,-0.087341,78.127289
41,4,-0.068264,-58.592033
42,3,-0.106411,-9.76572
43,8,-0.002265,48.051511
44,3,-0.117489,-49.630747
45,-11,-0.203316,-136.714745
46,18,0.044731,283.214188
47,3,-0.117247,-146.480084
48,5,-0.069263,19.532585
49,5,-0.050189,0.0
50,5,-0.069263,0.0
51,3,-0.088841,-20.048115
52,7,-0.06023,39.063263
53,5,-0.069886,-19.530487
54,1,-0.117697,-39.065934
55,0,-0.117697,-9.765148
56,15,-0.023872,144.902336
57,2,-0.168296,-128.359565
58,3,-0.006159,9.765911
59,0,-0.025119,-29.180892
60,4,-0.177569,39.210689
61,13,0.013178,87.905219
62,0,-0.158146,-126.951885
63,6,-0.063344,58.076506
64,6,-0.072941,0.0
65,0,-0.101547,-58.661922
66,5,-0.102397,47.956571
67,4,-0.102573,-9.94629
68,5,-0.035815,9.765339
69,4,-0.073964,-9.766388
70,-2,-0.157584,-58.589745
71,11,-0.025241,124.863131
72,6,-0.0642,-49.659337
73,11,-0.073734,48.826695
74,-3,-0.101494,-135.555147
75,1,-0.101266,39.404208
76,9,-0.091731,78.124237
77,3,-0.072761,-58.594322
78,4,-0.053697,9.741651
79,5,-0.101359,9.789429
80,0,-0.120432,-48.829079
81,8,-0.045158,77.080945
82,7,-0.054825,-9.899716
83,7,-0.073718,0.0
84,0,-0.112188,-68.971633
85,-3,-0.159872,-29.297447
86,11,-0.036627,135.968533
87,4,-0.075381,-68.632161
88,8,-0.085878,38.677612
89,-2,-0.144204,-98.789825
90,3,-0.086984,48.827648
91,12,-0.058369,87.890625
92,7,-0.010679,-48.827171
93,5,-0.096488,-19.53125
94,-5,-0.182325,-97.665788
95,2,-0.086961,68.35537
96,11,-0.039272,87.896634
97,5,-0.06788,-58.592033
98,9,0.037028,39.060593
99,1,-0.191857,-78.128052
100,-4,-0.163251,-48.828602
101,12,-0.020472,155.802676
102,7,-0.048878,-48.968719
103,4,-0.087023,-29.295731
104,4,-0.134675,0.0
105,5,-0.135062,9.37585
106,2,-0.076988,-30.569821
107,5,-0.14967,29.296589
108,9,-0.043593,39.059448
109,1,-0.14743,-78.130341
110,-4,-0.114157,-48.825741
111,10,-0.05439,136.729432
112,9,-0.140869,-9.765148
113,6,-0.025759,-29.297161
114,-2,-0.168817,-78.128815
115,-1,-0.178355,9.764862
116,10,-0.054371,107.429219
